code,label_en
D62,Social benefits other than social transfers in kind
D621PAY,"Social security benefits in cash, expenditure"
D622PAY,"Other social insurance benefits, expenditure"
D623PAY,"Social assistance benefits in cash, expenditure"
D62NET,Net social benefits other than social transfers in kind (RECV-PAID)
D62PAY,"Social benefits other than social transfers in kind, expenditure"
D62PAY_GF1002,"Social benefits other than social transfers in kind, expenditure, of which COFOG 10.2 old age"
D62PAY_GF1003,"Social benefits other than social transfers in kind, expenditure, of which COFOG 10.3 survivors"
D62PAY_GF1005,"Social benefits other than social transfers in kind, expenditure, of which COFOG 10.5 unemployment"
D62_D632,Social benefits other than social transfers in kind and social transfers in kind - purchased market production
D62_D632PAY,"Social benefits other than social transfers in kind and social transfers in kind - purchased market production, expenditure"
D62_P,Social insurance pension benefits
D63,Social transfers in kind
D631,Social transfers in kind - non-market production
D632,Social transfers in kind - purchased market production
D632PAY,"Social transfers in kind, purchased market production, expenditure"
D63NET,Net social transfer in kind (RECV-PAID)
D7,Other current transfers
D71,Net non-life insurance premiums
D71PAY,"Net non-life insurance premiums , expenditure"
D71REC,"Net non-life insurance premiums, revenue"
D72,Non-life insurance claims
D72PAY,"Non-life insurance claims, expenditure"
D72REC,"Non-life insurance claims, revenue"
D73PAY,"Current transfers within general government , expenditure"
D73REC,"Current transfers within general government, revenue"
D74,Current international cooperation
D74PAY,"Current international cooperation, expenditure"
D74PAY_S212,"Current international cooperation, expenditure, to the institutions and bodies of the European Union"
D74REC,"Current international cooperation, revenue"
D74REC_S212,"Current international cooperation, revenue from the EU institutions"
D74_EUI,Current international cooperation paid to / received by European institutions
D74_TO_D76,"Other current transfers, n.e.c. (excl. transfers within general government)"
D75,Miscellaneous current transfers
D75PAY,"Miscellaneous current transfers, expenditure"
D75REC,"Miscellaneous current transfers, revenue"
D76,VAT and GNI - based EU own resources
D76PAY,"VAT- and GNI-based EU own resources, expenditure"
D76REC,"VAT- and GNI-based EU own resources, revenue"
D7PAY,"Other current transfers, expenditure"
D7PAY_S1311,"Other current transfers, expenditure, of which to subsector central government (S1311)"
D7PAY_S1312,"Other current transfers, expenditure, of which to subsector state government (S1312)"
D7PAY_S1313,"Other current transfers, expenditure, of which to subsector local government (S1313)"
D7PAY_S1314,"Other current transfers, expenditure, of which to subsector social security funds (S1314)"
D7REC,"Other current transfers, revenue"
D7REC_S212,"Other current transfers, revenue, from the institutions and bodies of the European Union"
D7_S1311,"Other current transfers,of which payable to subsector S1311"
D7_S1312,"Other current transfers,of which payable to subsector S1312"
D7_S1313,"Other current transfers,of which payable to subsector S1313"
D7_S1314,"Other current transfers,of which payable to subsector S1314"
D8,Adjustment for the change in pension entitlements
D81,Transfers of pension entitlements between scheme
D82,Change in pension entitlements due to negotiated changes in scheme structure
D8NET,Net adjustment for the change in pension entitlements (RECV-PAID)
D9,Capital transfers
D91,Capital taxes
D91A,Taxes on capital transfers
D91B,Capital levies
D91C,Other capital taxes n.e.c.
D91REC,"Capital taxes, revenue"
D92,Investment grants
D92PAY,"Investment grants, expenditure"
D92REC,"Investment grants, revenue"
D92_D99REC,"Investment grants and other capital transfers, revenue"
D92_TO_D99,Investment grants and other capital transfers
D99,Other capital transfers
D995,Capital transfers from general government to relevant sectors representing taxes and social contributions assessed but unlikely to be collected
D995A,Taxes on products assessed but unlikely to be collected
D995B,Other taxes on production assessed but unlikely to be collected
D995C,Taxes on income assessed but unlikely to be collected
D995D,Other current taxes assessed but unlikely to be collected
D995E,Employers'actual social contributions assessed but unlikely to be collected
D995F,Households'actual social contributions assessed but unlikely to be collected
D995FE,Employees'actual social contributions assessed but unlikely to be collected
D995FN,Actual social contributions by non-employed persons assessed but unlikely to be collected
D995FS,Actual social contributions by self-employed persons assessed but unlikely to be collected
D995G,Capital taxes assessed but unlikely to be collected
D995REC,Capital transfers from general government to relevant sectors representing taxes and social contributions assessed but unlikely to be collected
D99PAY,"Other capital transfers, expenditure"
D99REC,"Other capital transfers, revenue"
D9PAY,"Capital transfers, expenditure"
D9PAY_S1311,"Capital transfers, expenditure, of which to subsector central government (S1311)"
D9PAY_S1312,"Capital transfers, expenditure, of which to subsector state government (S1312)"
D9PAY_S1313,"Capital transfers, expenditure, of which to subsector local government (S1313)"
D9PAY_S1314,"Capital transfers, expenditure, of which to subsector social security funds (S1314)"
D9PAY_S2,"Capital transfers, expenditure, to the rest of the world"
D9PAY_S212,"Capital transfers, expenditure, to the institutions and bodies of the EU"
D9REC,"Capital transfers, revenue"
D9REC_S2,"Capital transfers, revenue, from the rest of the world"
D9REC_S212,"Capital transfers, revenue from the institutions and bodies of the EU"
D9_S1311,"Capital transfers, expenditure, of which to subsector central government (S1311)"
D9_S1312,"Capital transfers, expenditure, of which to subsector state government (S1312)"
D9_S1313,"Capital transfers, expenditure, of which to subsector local government (S1313)"
D9_S1314,"Capital transfers, expenditure, of which to subsector social security funds (S1314)"
DIR_S11,"Net debt-to-income ratio, after taxes, of non-financial corporations: ((AF2+AF3+AF4, liab - assets)/(B4N-D5PAY)*100)"
DIR_S14,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)"
DIR_S14_S15,"Gross debt-to-income ratio of households: ((AF4, liab)/(B6G+D8net)*100)"
EMP_DC,Total employment domestic concept
EMP_HAB,Total employment (employed persons) per capita
EMP_HW_DC,Total employment (thousands of hours worked) domestic concept
EMP_NC,Total employment national concept
EMP_PS_DC,Total employment (thousands of persons) domestic concept
EXP_EUR,Nominal expenditure (in euro)
EXP_EUR_HAB,Nominal expenditure per inhabitant (in euro)
EXP_NAC,Nominal expenditure in national currency
EXP_NAC_PC_GDP,Nominal expenditure as a percentage of GDP (GDP=100)
EXP_PPS_EU15,Real expenditure (in PPS_EU15)
EXP_PPS_EU15_HAB,Real expenditure per capita (in PPS_EU15)
EXP_PPS_EU27_2007,Real expenditure (in PPS_EU27_2007)
EXP_PPS_EU27_2007_HAB,Real expenditure per capita (in PPS_EU27_2007)
EXP_PPS_EU27_2020,Real expenditure (in PPS_EU27_2020)
EXP_PPS_EU27_2020_HAB,Real expenditure per capita (in PPS_EU27_2020)
EXP_PPS_EU28,Real expenditure (in PPS_EU28)
EXP_PPS_EU28_HAB,Real expenditure per capita (in PPS_EU28)
F,Total financial assets/liabilities
F1,Monetary gold and special drawing rights (SDRs)
F11,Monetary gold
F12,Special drawing rights (SDRs)
F1_NAC,"Monetary gold and special drawing rights (SDRs), of which in national currency"
F2,Currency and deposits
F21,Currency
F22,Transferable deposits
F221,Interbank positions
F229,Other transferable deposits
F22_F29,"""Transferable deposits; other deposits"""
F29,Other deposits
F2R_F4R,Funds received
F2R_F4R_AP,"Funds received, of which advance payments"
F2_ASS,Net acquisition (+) of financial assets - currency and deposits
F2_F8,Total financial sector liabilities (excluding SDRs)
F2_NAC,"Currency and deposits, of which in national currency"
F3,Debt securities
F31,Short-term debt securities
F32,Long-term debt securities
F32_LESSY,Long-term debt securities - with remaining maturity of one year or less
F32_OVERY,Long-term debt securities - with remaining maturity of more than one year
F3_ASS,Net acquisition (+) of financial assets - debt securities
F3_F4,"Securities other than shares, loans"
F3_F4_X_FDI,"Securities other than shares, loans, excluding foreign direct investments"
F3_FDI,"Debt securities, of which foreign direct investment"
F3_NAC,"Debt securities, of which in national currency"
F4,Loans
F41,Short-term - loans
F41D,"Short-term loans - of which: repurchase agreement, securities lending & margin lending"
F41_ASS,Net acquisition (+) of financial assets - short-term - loans
F42,Long-term - loans
F42_ACQ_ASS,"""Net acquisition (+) of financial assets - long-term loans; acquisition/increase (+)"""
F42_ASS,Net acquisition (+) of financial assets - long-term - loans
